City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Atuona,PF,78.3,clear sky,-9.8,-139.0333,Villa Enata
4,Kavieng,PG,83.8,light rain,-2.5744,150.7967,Nusa Island Retreat
12,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
15,Harper,LR,77.79,overcast clouds,4.375,-7.7169,Screensaver
29,Sur,OM,84.43,clear sky,22.5667,59.5289,Sur Plaza Hotel
30,Dakar,SN,80.73,clear sky,14.6937,-17.4441,Redface Studios Meublés
38,Rikitea,PF,75.45,overcast clouds,-23.1203,-134.9692,People ThankYou
39,Hambantota,LK,79.14,scattered clouds,6.1241,81.1185,Bungalow 63
44,Saint-Philippe,RE,82.22,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
45,Carnarvon,AU,75.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
46,Butaritari,KI,81.99,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
47,Bissau,GW,79.34,few clouds,11.8636,-15.5977,Hotel Ancar
48,Cayenne,GF,77.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
49,Victoria,HK,86.05,scattered clouds,22.2855,114.1577,Mini Hotel Central
53,Itoman,JP,80.98,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
54,Mana,GF,76.89,overcast clouds,5.6592,-53.7767,LE SAMANA
58,Kalabo,ZM,88.5,few clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
65,Manggar,ID,84.52,overcast clouds,-2.8833,108.2667,Guest Hotel
68,Isangel,VU,75.31,overcast clouds,-19.55,169.2667,Tanna Lodge
71,Wahiawa,US,75.52,scattered clouds,21.5028,-158.0236,Aloha Wahiawa
72,Biltine,TD,85.24,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
76,Yeppoon,AU,83.98,overcast clouds,-23.1333,150.7333,Villa Mar Colina
77,Kloulklubed,PW,84.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
80,Faanui,PF,79.92,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
82,Farafangana,MG,76.59,light rain,-22.8167,47.8333,Miarina
86,Chililabombwe,ZM,83.55,few clouds,-12.3648,27.8229,Tabernacle Guest Lodge and Events (Under new management!)
88,Meulaboh,ID,81.55,light rain,4.1363,96.1285,Kost Pria
92,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
95,Miri,MY,87.94,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
100,Dzaoudzi,YT,87.69,few clouds,-12.7887,45.2699,Le Rocher
103,Kyaukse,MM,85.32,scattered clouds,21.6,96.1333,Shwe Thit Sar Guesthouse
107,Samarai,PG,84.7,clear sky,-10.6167,150.6667,Nuli Sapi
108,Jacmel,HT,76.84,scattered clouds,18.2342,-72.5347,Historic Hotel Florita
116,Sao Filipe,CV,77.45,overcast clouds,14.8961,-24.4956,Hotel Xaguate
121,Hue,VN,86.11,few clouds,16.4667,107.6,Saigon Morin Hotel
122,Pa Daet,TH,88.09,scattered clouds,19.5049,99.9924,โรงแรมฝ้ายคำ
126,Banda Aceh,ID,81.79,overcast clouds,5.5577,95.3222,Sulthan Hotel International
127,Tautira,PF,78.82,light rain,-17.7333,-149.15,Pension Oaoa
130,Kapaa,US,76.98,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
134,Georgetown,MY,89.55,few clouds,5.4112,100.3354,Cititel Penang
135,Morant Bay,JM,82.02,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
142,Cabo San Lucas,MX,77.5,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
143,Majene,ID,84.67,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
149,Gushikawa,JP,80.19,clear sky,26.3544,127.8686,Kirari Guest House
151,Touros,BR,79.7,clear sky,-5.1989,-35.4608,INN NEW HORIZON
152,Cockburn Town,TC,83.32,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
155,Alofi,NU,76.89,overcast clouds,-19.0595,-169.9187,Taloa Heights
161,Mutis,CO,77.31,moderate rain,6.2262,-77.4044,Paraiso Escondido
163,Makakilo City,US,77.32,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
164,Bubaque,GW,83.37,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
