City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nemuro,JP,2021-11-07 06:38:25,43.3236,145.575,46.83,83,100,18.03,light rain
1,Narsaq,GL,2021-11-07 06:38:45,60.9167,-46.05,34.02,67,100,10.2,overcast clouds
2,Port Alfred,ZA,2021-11-07 06:38:06,-33.5906,26.891,63.32,91,100,12.75,light rain
3,Atuona,PF,2021-11-07 06:37:43,-9.8,-139.0333,78.3,70,0,16.49,clear sky
4,Kavieng,PG,2021-11-07 06:39:48,-2.5744,150.7967,83.8,76,10,13.96,light rain
5,Provideniya,RU,2021-11-07 06:39:10,64.3833,-173.3,17.98,90,85,8.61,overcast clouds
6,Ribeira Brava,PT,2021-11-07 06:45:50,32.65,-17.0667,66.83,55,0,11.86,clear sky
7,Caravelas,BR,2021-11-07 06:38:53,-17.7125,-39.2481,71.01,86,100,3.51,overcast clouds
8,Tuktoyaktuk,CA,2021-11-07 06:37:53,69.4541,-133.0374,6.66,95,9,7.38,clear sky
9,Kijang,KR,2021-11-07 06:45:50,35.2442,129.2139,71.33,56,1,17.31,clear sky
10,Tias,ES,2021-11-07 06:45:51,28.9611,-13.645,65.95,55,40,17.27,scattered clouds
11,Sovetskaya Gavan,RU,2021-11-07 06:45:51,48.9723,140.2878,32.58,32,0,9.51,clear sky
12,Vaini,TO,2021-11-07 06:37:29,-21.2,-175.2,78.96,94,75,6.91,broken clouds
13,Gornyy,RU,2021-11-07 06:45:51,55.1153,83.9059,29.79,92,100,21.12,light snow
14,Santa Fe Do Sul,BR,2021-11-07 06:45:52,-20.2111,-50.9258,74.44,74,99,4.97,overcast clouds
15,Harper,LR,2021-11-07 06:38:35,4.375,-7.7169,77.79,86,100,2.89,overcast clouds
16,Nikolskoye,RU,2021-11-07 06:38:05,59.7035,30.7861,39.87,85,100,6.78,overcast clouds
17,Jamestown,US,2021-11-07 06:37:39,42.097,-79.2353,40.59,78,1,1.01,clear sky
18,Barrow,US,2021-11-07 06:33:31,71.2906,-156.7887,10.42,92,90,5.75,fog
19,Nanortalik,GL,2021-11-07 06:37:25,60.1432,-45.2371,28.45,66,100,9.44,overcast clouds
20,Vogar,IS,2021-11-07 06:45:53,63.9832,-22.3874,35.64,93,75,6.91,broken clouds
21,Ushuaia,AR,2021-11-07 06:37:22,-54.8,-68.3,40.66,93,40,6.91,light intensity drizzle
22,Bredasdorp,ZA,2021-11-07 06:37:45,-34.5322,20.0403,60.28,63,100,2.3,overcast clouds
23,Esperance,AU,2021-11-07 06:37:50,-33.8667,121.9,66.04,57,7,14.23,clear sky
24,Busselton,AU,2021-11-07 06:37:34,-33.65,115.3333,68.09,45,100,9.42,overcast clouds
25,Yellowknife,CA,2021-11-07 06:37:37,62.456,-114.3525,31.41,92,90,8.05,light snow
26,Severo-Kurilsk,RU,2021-11-07 06:38:58,50.6789,156.125,38.32,86,100,13.13,overcast clouds
27,Itaituba,BR,2021-11-07 06:45:54,-4.2761,-55.9836,73.27,90,100,1.32,overcast clouds
28,Clyde River,CA,2021-11-07 06:38:50,70.4692,-68.5914,6.28,87,41,5.95,scattered clouds
29,Sur,OM,2021-11-07 06:40:51,22.5667,59.5289,84.43,34,0,7.49,clear sky
30,Dakar,SN,2021-11-07 06:43:50,14.6937,-17.4441,80.73,74,0,18.41,clear sky
31,Albany,US,2021-11-07 06:32:54,42.6001,-73.9662,31.98,85,1,1.63,clear sky
32,Rovaniemi,FI,2021-11-07 06:45:54,66.5,25.7167,26.01,86,0,12.66,clear sky
33,Mataura,NZ,2021-11-07 06:37:24,-46.1927,168.8643,58.48,77,96,1.95,overcast clouds
34,Igrim,RU,2021-11-07 06:37:22,63.1906,64.4162,38.05,87,100,12.73,overcast clouds
35,Hun,LY,2021-11-07 06:45:55,29.1268,15.9477,72.95,28,47,8.79,scattered clouds
36,Yashan,CN,2021-11-07 06:45:55,22.1975,109.9419,86.79,53,81,3.89,broken clouds
37,Dikson,RU,2021-11-07 06:33:06,73.5069,80.5464,11.41,98,96,5.7,overcast clouds
38,Rikitea,PF,2021-11-07 06:37:30,-23.1203,-134.9692,75.45,84,100,14.54,overcast clouds
39,Hambantota,LK,2021-11-07 06:40:54,6.1241,81.1185,79.14,94,40,14.97,scattered clouds
40,Hovd,MN,2021-11-07 06:37:33,48.0056,91.6419,23.97,27,95,2.68,overcast clouds
41,Punta Arenas,CL,2021-11-07 06:33:52,-53.15,-70.9167,46.51,87,90,13.8,overcast clouds
42,Warmbad,NA,2021-11-07 06:45:56,-28.45,18.7333,65.44,32,100,2.48,overcast clouds
43,Havre-Saint-Pierre,CA,2021-11-07 06:45:57,50.2334,-63.5986,46.4,76,90,19.57,overcast clouds
44,Saint-Philippe,RE,2021-11-07 06:37:53,-21.3585,55.7679,82.22,78,36,12.01,scattered clouds
45,Carnarvon,AU,2021-11-07 06:38:10,-24.8667,113.6333,75.27,57,0,23.02,clear sky
46,Butaritari,KI,2021-11-07 06:38:17,3.0707,172.7902,81.99,65,86,10.04,overcast clouds
47,Bissau,GW,2021-11-07 06:45:57,11.8636,-15.5977,79.34,79,12,7.0,few clouds
48,Cayenne,GF,2021-11-07 06:39:07,4.9333,-52.3333,77.09,90,75,1.99,broken clouds
49,Victoria,HK,2021-11-07 06:38:06,22.2855,114.1577,86.05,88,25,1.01,scattered clouds
50,Bethel,US,2021-11-07 06:37:54,41.3712,-73.414,38.91,88,1,0.0,clear sky
51,Hobart,AU,2021-11-07 06:37:49,-42.8794,147.3294,59.02,57,75,10.36,broken clouds
52,Zittau,DE,2021-11-07 06:45:58,50.9,14.8333,41.59,86,98,13.0,overcast clouds
53,Itoman,JP,2021-11-07 06:45:59,26.1247,127.6694,80.98,63,20,16.11,few clouds
54,Mana,GF,2021-11-07 06:41:05,5.6592,-53.7767,76.89,89,100,7.63,overcast clouds
55,Poum,NC,2021-11-07 06:38:29,-20.2333,164.0167,74.17,72,44,10.22,scattered clouds
56,Port Elizabeth,ZA,2021-11-07 06:37:48,-33.918,25.5701,63.1,82,75,16.11,broken clouds
57,New Norfolk,AU,2021-11-07 06:38:00,-42.7826,147.0587,58.66,50,90,3.0,overcast clouds
58,Kalabo,ZM,2021-11-07 06:45:59,-14.97,22.6814,88.5,28,11,7.45,few clouds
59,Constitucion,CL,2021-11-07 06:37:16,-35.3333,-72.4167,49.46,91,44,5.03,scattered clouds
60,Upernavik,GL,2021-11-07 06:38:46,72.7868,-56.1549,12.04,84,89,5.39,overcast clouds
61,Arraial Do Cabo,BR,2021-11-07 06:33:42,-22.9661,-42.0278,67.75,78,17,5.26,few clouds
62,Turinsk,RU,2021-11-07 06:46:00,58.0458,63.696,37.51,77,100,14.85,overcast clouds
63,Zonguldak,TR,2021-11-07 06:46:00,41.25,31.8333,49.05,54,100,2.21,overcast clouds
64,Bluff,NZ,2021-11-07 06:37:31,-46.6,168.3333,58.8,80,66,12.93,broken clouds
65,Manggar,ID,2021-11-07 06:46:01,-2.8833,108.2667,84.52,72,87,3.24,overcast clouds
66,Cape Town,ZA,2021-11-07 06:37:44,-33.9258,18.4232,64.11,63,0,4.0,clear sky
67,Fortuna,US,2021-11-07 06:38:11,40.5982,-124.1573,47.35,69,90,5.01,overcast clouds
68,Isangel,VU,2021-11-07 06:37:52,-19.55,169.2667,75.31,69,100,8.05,overcast clouds
69,Ribeira Grande,PT,2021-11-07 06:38:28,38.5167,-28.7,69.66,87,21,26.98,few clouds
70,Tateyama,JP,2021-11-07 06:46:02,34.9833,139.8667,68.02,73,100,13.31,light rain
71,Wahiawa,US,2021-11-07 06:44:41,21.5028,-158.0236,75.52,71,40,8.05,scattered clouds
72,Biltine,TD,2021-11-07 06:46:02,14.5333,20.9167,85.24,16,0,12.62,clear sky
73,East London,ZA,2021-11-07 06:37:25,-33.0153,27.9116,63.54,100,90,8.05,light rain
74,Qaanaaq,GL,2021-11-07 06:38:27,77.484,-69.3632,5.41,70,51,6.4,broken clouds
75,Port Hardy,CA,2021-11-07 06:40:16,50.6996,-127.4199,44.6,100,40,3.44,light rain
